CATEGORY,SUBCATEGORY,NAME,NAMEFR,ADDRESS,ADDRESSFR,POSTCODE,PHONENUM,GlobalID,X,Y
ATTRACTIONS,ZOO,Magnetic Hill Zoo,Zoo de Magnetic Hill,125 MAGIC MOUNTAIN RD,"125, CH MAGIC MOUNTAIN",E1G 4V7,506-877-7720,{F16C4086-A26B-4DEE-81FE-F72F4FFB48D6},-64.88549786,46.13813977
COMMUNITY,PUBLIC LIBRARY,Moncton Public Library,BibliothÌ¬eque publique de Moncton,644 MAIN ST,"644, RUE MAIN",E1C 1E2,506-869-6000,{5BE6E52F-59CC-4A52-93F1-6400FD1523F3},-64.77473466,46.08838757
COMMUNITY,FARMERS MARKET,Moncton Market,MarchÌ© Moncton,120 WESTMORLAND ST,"120, RUE WESTMORLAND",E1C 0R9,506-389-5969,{1FF90DCA-3F3A-4714-994F-3EDF767AA564},-64.77846667,46.08728619
COMMUNITY,PARK,Centennial Park,Parc du centenaire,801 ST GEORGE BLVD,"801, BOUL ST GEORGE",,506-853-3516,{E905FD4C-BDEA-4057-9F0F-BCD104F3F12E},-64.81538714,46.08575974
COMMUNITY,PARK,Irishtown Nature Park,Parc naturel d'Irishtown,1155 ELMWOOD DR,"1155, PROM ELMWOOD",,,{A0EAAAD8-9281-4F09-B420-2ED950F5453C},-64.76798526,46.14399386
COMMUNITY,PARK,Mapleton Park,Parc Mapleton,600 MAPLETON RD,"600, CH MAPLETON",,506-853-3516,{5B184F3D-C22F-44AF-8A73-8AFD7319B8EE},-64.83160534,46.12556797
COMMUNITY,PARK,Bore Park,Parc du Mascaret,11 BENDVIEW ST,"11, RUE BENDVIEW",E1C 0H7,506-853-3516,{B888216F-B343-463C-BC3C-49F302B2AB75},-64.77094462,46.090107
COMMUNITY,,Moncton Maple Sugar Camp,L'Ì©rabliÌ¬re de Moncton,6 DEWEY RD,"6, ch Dewey",,,{E44B4DF6-13E2-4B66-9F62-DC6AAED8C4D7},-64.90098248,46.00269225
COMMUNITY,DOG PARK,Centennial Park Dog Park,Parc pour chiens du centenaire,ST GEORGE BLVD,BOUL ST GEORGE,,,{43FE08F9-A4EA-4AEF-86F9-8F98D1C6585F},-64.81978013,46.0840315
COMMUNITY,PARK,Garden Hill Park,Parc Garden Hill,20 GARDEN HILL AVE,"20, AV GARDEN HILL",,,{6EA0EA1B-E40B-4B92-858E-8EB1DC2E9108},-64.79036543,46.098254
COMMUNITY,PARK,Riverfront Park,Parc riverain,ASSOMPTION BLVD,BOUL ASSOMPTION,,,{52E92DE3-525C-43DB-9276-E592F61CF530},-64.77465767,46.08584722
COMMUNITY,PLAYGROUND,Camelot,Camelot,32 CAMELOT DR,"32, PROM CAMELOT",,,{577F06DD-078F-40B1-BF46-DB477BDA660B},-64.72542264,46.11179851
COMMUNITY,PLAYGROUND,Savannah Heights,Savannah Heights,121 SAVANNAH DR,"121, PROM SAVANNAH",,,{34D7B030-A61A-452A-B276-422F88110883},-64.73295412,46.10929295
COMMUNITY,PLAYGROUND,Silverwood,Silverwood,70 SILVERWOOD CRES,"70, CROIS SILVERWOOD",,,{FD162442-1267-4185-8B88-2A6828F7E4FA},-64.74920388,46.10739739
COMMUNITY,PLAYGROUND,Tobin,rue Tobin,10 TOBIN DR,"10, PROM TOBIN",,,{9142EF48-91C2-43B4-9DFA-CE76A8321BB2},-64.7755095,46.12490508
COMMUNITY,PLAYGROUND,Fairview Knoll,Fairview Knoll,111 FAIRVIEW KNOLL DR,"111, PROM FAIRVIEW KNOLL",,,{5802C1BF-8B3C-4681-A055-9ED8126E26DE},-64.7804321,46.11979751
COMMUNITY,PLAYGROUND,Braemar,Braemar,45 CENTRE ST,"45, RUE CENTRE",,,{8D8A9F0F-06FE-4818-A797-AB7852AB5667},-64.77916942,46.10314974
COMMUNITY,PLAYGROUND,Knox,Knox,75 KNOX DR,"75, PROM KNOX",,,{C7190A2E-556D-44C6-8BD2-21CE5BC4BC36},-64.8428498,46.11086236
COMMUNITY,PLAYGROUND,Hildegard,Hildegard,220 BARRIEAU RD,"220, CH BARRIEAU",,,{180BAC93-04C2-4DF7-90F1-A62BBAC191BC},-64.8411957,46.11565731
COMMUNITY,PLAYGROUND,Roxborough,Roxborough,140 BARRINGTON CRES,"140, CROIS BARRINGTON",,,{4A99F623-9C37-46DF-8DAA-690040DFDA01},-64.84807155,46.11392165
COMMUNITY,PLAYGROUND,Canadian Heights,Canadian Heights,35 CHELSEA RD,"35, CH CHELSEA",,,{9E99B398-D290-436B-96F3-D24F6F6BB29E},-64.83825475,46.1179512
COMMUNITY,PLAYGROUND,Valhalla,Valhalla,48 MONTE CARLO CRES,"48, CROIS MONTE CARLO",,,{A48C6729-47CD-4DB7-8F14-4451FF43E139},-64.84935473,46.12348216
COMMUNITY,PLAYGROUND,Candlewood,Candlewood,90 CANDLEWOOD DR,"90, PROM CANDLEWOOD",,,{2CEC04BB-3187-4069-9FAB-77470E2B1B5E},-64.83128674,46.13400431
COMMUNITY,PLAYGROUND,Sunny Acres,Sunny Acres,120 ELLERDALE AVE,"120, AV ELLERDALE",,,{2D75203C-422B-467B-ACC1-7B5ED462539D},-64.7665313,46.11974024
COMMUNITY,PLAYGROUND,Budd Lane,ruelle Budd,88 BUDD LN,"88, RLE BUDD",E1A 4B9,,{580C399D-1709-41B8-8199-D45CF9259992},-64.76367118,46.1079527
COMMUNITY,PLAYGROUND,Lewis,rue Lewis,96 LEWIS ST,"96, RUE LEWIS",E1C 4S7,,{1D00A3B1-02A0-4071-9DE7-3AD9E3C89F4F},-64.7744627,46.09224678
COMMUNITY,PLAYGROUND,Allison Heights,Allison Heights,1535 SALISBURY RD,"1535, CH SALISBURY",E1E 4P5,,{90B883C8-F738-483F-A183-B29E1FFE03A7},-64.88511399,46.05750176
COMMUNITY,PLAYGROUND,Beechwood,Beechwood,70 BEECHWOOD AVE,"70, AV BEECHWOOD",,,{E2B07F41-EB04-43B3-AF66-F0C102C79D16},-64.78012384,46.11638717
COMMUNITY,PLAYGROUND,Bond,Bond,216 BOND DR,"216, PROM BOND",,,{C3DA5848-80EE-49EF-BB9C-248E0510692C},-64.84348033,46.05982064
COMMUNITY,PLAYGROUND,Codiac Heights,Codiac Heights,100 OLYMPIC CRES,"100, CROIS OLYMPIC",,,{B27A9B32-FF0F-4B79-BCDD-5906ECCA99A9},-64.84856823,46.05881017
COMMUNITY,PLAYGROUND,Gurney's Bend,Gurney's Bend,7 GURNEY DR,"7, PROM GURNEY",,,{17B1D838-4B93-42BA-84C3-E9E4DEA376EF},-64.77016063,46.11055453
COMMUNITY,PLAYGROUND,Halls Creek,Halls Creek,51 MARJORIE ST,"51, RUE MARJORIE",,,{EEADCD48-0E50-44EC-8682-C87C0733C59E},-64.78173145,46.09765629
COMMUNITY,PLAYGROUND,East,East,71 EAST ST,"71, RUE EAST",,,{6BDFED71-2BC6-4F56-BCA2-F1EBD9CD0985},-64.71741273,46.12077293
COMMUNITY,PLAYGROUND,Lancaster,Lancaster,65 LANCASTER RD,"65, CH LANCASTER",E1C 7P6,,{D6D4AE13-C70D-4984-90C8-0FCEDCC1CE07},-64.8180398,46.10756495
COMMUNITY,PLAYGROUND,Wynwood,Wynwood,170 WYNWOOD DR,"170, PROM WYNWOOD",,,{C4C50903-B760-404F-8154-C44839939CE7},-64.74780313,46.10503989
COMMUNITY,PLAYGROUND,Highfield,Highfield,9 THANET ST,"9, RUE THANET",,,{A1A728DB-074C-4088-9E2A-ED87512E43B3},-64.79021706,46.10099466
COMMUNITY,PLAYGROUND,Auburn Circle,Auburn Circle,60 AUBURN CIRC,"60, CIRC AUBURN",E1A 5H3,,{D4D4CB46-A83B-4A71-B91F-923D2E70EEBB},-64.76887857,46.1241214
COMMUNITY,PLAYGROUND,Freeman,Freeman,188 FREEMAN ST,"188, RUE FREEMAN",E1E 4W8,,{1CC1305F-506B-4974-B87B-153E343987C1},-64.84805427,46.10320191
COMMUNITY,PLAYGROUND,Gagnon,Gagnon,139 GAGNON DR,"139, PROM GAGNON",E1A 0Z4,,{786DF1A2-15B1-482A-A85F-00395CCBB089},-64.72817963,46.12131759
COMMUNITY,PLAYGROUND,Pauline Frizzell,Pauline Frizzell,387 SALISBURY RD,"387, CH SALISBURY",E1E 1B1,,{2F65CC0E-23BF-4649-87F4-B1D764BE6F08},-64.83473649,46.06922573
