nom,"nom de la râgion de patrimoine canadien, anglais","nom de la râgion de patrimoine canadien, franàais","nom de la province, anglais","nom de la province, franàais","nom de la râgion âconomique, anglais","nom de la râgion âconomique, franàais",latitude,longitude
name,"Canadian Heritage region name, english","Canadian Heritage region name, french","province name, english","province name, french","economic region name, english","economic region name, french",latitude,longitude
Bathurst High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.614984,-65.651543
Campbellton Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,48.00141,-66.672569
Croft Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,46.997517,-65.575787
Dalhousie Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,48.053106,-66.39964
Dalhousie Regional High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,48.053106,-66.39964
Dr. Losier Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.024907,-65.457709
Gretna Green Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,46.905767,-65.642853
Harkins Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.003833,-65.570234
James M. Hill Memorial High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.024907,-65.457709
L.E. Reinsborough School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,48.057919,-66.365844
Lord Beaverbrook School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.999965,-66.681193
Miramichi Valley High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.007374,-65.580653
Parkwood Heights Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.633794,-65.694366
St. Andrews Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.037302,-65.461779
Sugarloaf Senior High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.997876,-66.674483
Superior Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.621565,-65.670016
Terry Fox Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.598738,-65.668847
Andover Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,46.8043,-67.722799
Carleton North High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,46.468161,-67.576877
Florenceville Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,46.41888,-67.612061
Florenceville Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,46.449866,-67.612891
John Caldwell School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,47.041071,-67.751454
Perth-Andover Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,46.750846,-67.703892
Southern Carleton Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,46.167372,-67.610502
Southern Victoria High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,46.8043,-67.722799
Tobique Valley High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,46.914335,-67.392762
Woodstock Centennial Elementary School ,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,46.161467,-67.580483
Woodstock High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,46.163449,-67.586543
Woodstock Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,46.153273,-67.575358
