nom,"nom de la région de patrimoine canadien, anglais","nom de la région de patrimoine canadien, français","nom de la province, anglais","nom de la province, français","nom de la région économique, anglais","nom de la région économique, français",latitude,longitude
name,"Canadian Heritage region name, english","Canadian Heritage region name, french","province name, english","province name, french","economic region name, english","economic region name, french",latitude,longitude
Académie Assomption,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.610357,-65.633665
Académie Notre-Dame,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,48.062154,-66.36835
Apollo XI,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,48.000344,-66.664447
Arthur-Pinet,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,48.018121,-66.420028
Aux quatre vents,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,48.053106,-66.39964
Carrefour Étudiant,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.705034,-65.702446
Centre scolaire communautaire La Fontaine,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.245554,-65.080015
Cité de l'Amitié,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.638393,-65.686376
École Carrefour Beausoleil,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.0133,-65.586125
École Écho Jeunesse,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.647494,-67.344913
École La Croisée,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,47.68846,-65.755893
